epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7392,1.88428,2.13127,1.58257,0.70117,0.664,0.68438,0.31813,1.71844,2.17851,1.60046,0.000663462,0.000663462,0.000663462
2,73.9133,1.81708,1.59921,1.56011,0.71105,0.65453,0.69762,0.32315,1.82231,1.39966,1.68818,0.00130379,0.00130379,0.00130379
3,98.1664,1.79599,1.43031,1.56517,0.7159,0.69623,0.71785,0.35007,1.79389,1.279,1.68661,0.00191772,0.00191772,0.00191772
4,122.113,1.78863,1.32743,1.56038,0.71684,0.70466,0.7089,0.33322,1.84333,1.22622,1.67542,0.0018812,0.0018812,0.0018812
5,146.402,1.77892,1.29046,1.56748,0.74768,0.67062,0.73205,0.35275,1.7893,1.18536,1.68784,0.0018416,0.0018416,0.0018416
6,183.302,1.74489,1.25614,1.54777,0.75337,0.64845,0.73076,0.35305,1.80237,1.19294,1.67841,0.001802,0.001802,0.001802
7,223.45,1.73234,1.24549,1.53708,0.73663,0.69433,0.73713,0.36012,1.75003,1.18559,1.63739,0.0017624,0.0017624,0.0017624
8,259.39,1.71565,1.24488,1.52756,0.74476,0.72796,0.75624,0.37506,1.78262,1.09152,1.65051,0.0017228,0.0017228,0.0017228
9,299.004,1.70025,1.18196,1.50163,0.71641,0.69668,0.73065,0.36404,1.71264,1.1681,1.60267,0.0016832,0.0016832,0.0016832
10,338.209,1.70306,1.18188,1.50192,0.74331,0.70876,0.74574,0.37393,1.74523,1.08907,1.62953,0.0016436,0.0016436,0.0016436
11,375.921,1.69176,1.15124,1.4903,0.76043,0.72646,0.77023,0.38459,1.72134,1.05259,1.61015,0.001604,0.001604,0.001604
12,399.863,1.68345,1.16844,1.51585,0.75827,0.72116,0.7584,0.3822,1.71938,1.05757,1.61929,0.0015644,0.0015644,0.0015644
13,423.967,1.65666,1.14139,1.48354,0.74695,0.71362,0.76079,0.38501,1.70277,1.06065,1.60061,0.0015248,0.0015248,0.0015248
14,467.36,1.6547,1.12375,1.50418,0.74022,0.72938,0.74784,0.3756,1.70739,1.05945,1.61369,0.0014852,0.0014852,0.0014852
15,493.784,1.64338,1.09919,1.47477,0.75356,0.72062,0.76167,0.3747,1.75289,1.05178,1.63752,0.0014456,0.0014456,0.0014456
16,535.2,1.64209,1.12634,1.48785,0.77759,0.70155,0.76863,0.39284,1.70253,1.08287,1.61322,0.001406,0.001406,0.001406
17,576.29,1.63241,1.09831,1.47522,0.74805,0.73608,0.77386,0.39755,1.68059,1.0213,1.58955,0.0013664,0.0013664,0.0013664
